variable,source_variable,alternatives,condition,values,values_parsed,format,static_value,aggregate,conversion,threshold,limit
cognitive_impairment_overall,cog_cogimp,,,1.0;0.0,yes;no,,,,,,
cognitive_impairment_attention,cog_efimp,,,1.0;0.0,yes;no,,,,,,
cognitive_impairment_executive,cog_efimp,,,1.0;0.0,yes;no,,,,,,
cognitive_impairment_memory,cog_memoryimp,,,1.0;0.0,yes;no,,,,,,
cognitive_impairment_processing,cog_ipsimp,,,1.0;0.0,yes;no,,,,,,
cognitive_impairment_working_memory,,,,,yes;no,,,,,,
cognitive_score_overall,overall_cognition,,,,,,,,,,
cognitive_score_memory,memory,,,,,,,,,,
cognitive_score_processing,processing_speed,,,,,,,,,,
cognitive_score_attention,executive_attention,,,,,,,,,,
cognitive_score_executive,executive_attention,,,,,,,,,,
date_plasma,visit1_date,,,,,%Y-%m-%d,,,,,
p_tau,,,,,,,,,,,
amyloid_b_42,ab142,,,,,,,,,,
amyloid_b_40,ab140,,,,,,,,,,
amyloid_b_ratio_42_40,,,,,,,,,,,
gfap,gfap,,,,,,,,,,
nfl,nflight,,,,,,,,,,
e_selectin,eselectin_2016f,,,,,,,,,,
saa,saa_2016f,,,,,,,,,,
vcam,svcam1_2016f,,,,,,,,,,
icam,sicam1_2016f,,,,,,,,,,
il6,il6_2016f,,,,,,,,,,
il8,il8_2016f,,,,,,,,,,
il_1b,,,,,,,,,,,
tnfalpha,tnfa_2016f,,,,,,,,,,
vwf,vwf,,,,,,,,,,
date_metabolomics,,,,,,,,,,,
metabo_age,,,,,,,,,,,
date_mri,,,,,,,,,,,
brain_age,,,,,,,,,,,
date_additional,visit2_date,,,,,%Y-%m-%d,,,,,
fluency_double,flud,,,,,,,,,,
fluency_status,flustat,,,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0,0;1;2;3;4;5;6;7,,,,,,
stroop_chart3_spontaneous_corrections,str3cor,,,,,,,,,,
stroop_chart2_spontaneous_corrections,str2cor,,,,,,,,,,
stroop_chart1_spontaneous_corrections,str1cor,,,,,,,,,,
stroop_status,strstat,,,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0,0;1;2;3;4;5;6;7,,,,,,
stroop_interference,strint,,,,,,,,,,
wlt_double_trial_1,wlt1d,,,,,,,,,,
wlt_double_trial_2,wlt2d,,,,,,,,,,
wlt_double_trial_3,wlt3d,,,,,,,,,,
wlt_double_trial_4,wlt4d,,,,,,,,,,
wlt_double_trial_5,wlt5d,,,,,,,,,,
wlt_false_positive,wltrfp,,,,,,,,,,
wlt_status,wltstat,,,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0,0;1;2;3;4;5;6;7,,,,,,
wlt_true_negative,wltrcorn,,,,,,,,,,
wlt_false_negative,wltrfn,,,,,,,,,,
wlt_true_positive,wltrcorp,,,,,,,,,,
cst_1_time_null,cst1ts,,,,,,,,,,
cst_2_time_null,cst2ts,,,,,,,,,,
cst_status,cststat,,,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0,0;1;2;3;4;5;6;7,,,,,,
cst_adjusted,cstadjustedts,,,,,,,,,,
ldst_status,ldststat,,,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0,0;1;2;3;4;5;6;7,,,,,,
