concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
2000000001	education_years	Observation	Vocabulary	Observation		Education_years	20210101	20991231	
2000000002	scd_diagnosis	Condition	Vocabulary	Condition		scd_diagnosis	20210101	20991231	
2000000003	cdr_sum_of_boxes	Observation	Vocabulary	Observation		CDR_sum_of_boxes	20210101	20991231	
2000000004	live_date	Observation	Vocabulary	Observation		Live_Date	20210101	20991231	
2000000005	drugs_hypertension	Observation	Vocabulary	Observation		Drugs_hypertension	20210101	20991231	
2000000006	drugs_hypercholesterolemia	Observation	Vocabulary	Observation		Drugs_hypercholesterolemia	20210101	20991231	
2000000007	drugs_diabetes	Observation	Vocabulary	Observation		Drugs_diabetes	20210101	20991231	
2000000008	glucose_nonfasted	Measurement	Vocabulary	Measurement		Glucose_nonfasted	20210101	20991231	
2000000009	apoe_carrier	Observation	Vocabulary	Observation		APOE_carrier	20210101	20991231	
2000000010	apoe_genotype	Observation	Vocabulary	Observation		APOE_genotype	20210101	20991231	
2000000011	csf_assay_amyloid	Observation	Vocabulary	Observation		CSF_assay_amyloid	20210101	20991231	
2000000012	csf_ab_total_1_42	Measurement	Vocabulary	Measurement		CSF_ab_total_1_42	20210101	20991231	
2000000013	csf_ab_total_ratio_42_40	Measurement	Vocabulary	Measurement		CSF_ab_total_ratio_42_40	20210101	20991231	
2000000014	csf_ab_total_1_38	Measurement	Vocabulary	Measurement		CSF_ab_total_1_38	20210101	20991231	
2000000015	amy_abnormal	Condition	Vocabulary	Condition		Amy_abnormal	20210101	20991231	
2000000016	csf_assay_tau	Observation	Vocabulary	Observation		CSF_assay_Tau	20210101	20991231	
2000000017	ttau_abnormal	Condition	Vocabulary	Condition		Ttau_abnormal	20210101	20991231	
2000000018	csf_ptau	Measurement	Vocabulary	Measurement		CSF_ptau	20210101	20991231	
2000000019	ptau_abnormal	Condition	Vocabulary	Condition		Ptau_abnormal	20210101	20991231	
2000000020	pet_tracer	Observation	Vocabulary	Observation		PET_tracer	20210101	20991231	
2000000021	pet_assesment	Observation	Vocabulary	Observation		Pet_assesment	20210101	20991231	
2000000022	pet_level_suvr	Observation	Vocabulary	Observation		PET_level_suvr	20210101	20991231	
2000000023	pet_level_bpnd	Observation	Vocabulary	Observation		PET_level_bpnd	20210101	20991231	
2000000024	pet_abnormal	Condition	Vocabulary	Condition		PET_abnormal	20210101	20991231	
2000000025	depression_rating_mini	Measurement	Vocabulary	Measurement		Depression_rating_mini	20210101	20991231	
